case,cal_min,cal_max,zero_min,zero_max,ave_min,ave_max,cal_average,zero_average,dv_average,v_average,dv0_average,dv1_average,dv2_average,dv3_average
case_1-1,15,25,50,60,80,100,2.712376237623762,0.6512871287128715,1.0827777777777776,31.19333333333333,0.5917460317460318,0.33424528301886786,0.25846153846153835,0.45416666666666683
case_1-2,10,20,30,40,70,90,2.755742574257426,0.6772000000000002,1.0918499999999993,28.49854999999997,0.6433507853403139,0.3040178571428572,0.25088235294117645,0.36212121212121207
case_2-1,10,20,30,40,70,90,2.7219801980198026,0.63,1.5149999999999997,30.29735,0.8936999999999997,0.2675714285714286,0.17199999999999996,0.5962804878048783
case_2-2,10,20,25,35,60,80,2.879897959183673,0.9313265306122445,1.554948979591836,30.34045918367345,0.836122448979592,0.25783783783783787,0.18716666666666665,0.6247457627118645
case_2-3,10,20,30,40,70,90,2.8113861386138623,0.8147000000000001,1.4908499999999998,33.37289999999999,0.8345000000000004,0.36419753086419737,0.2535443037974684,0.5045679012345681
case_2-4,10,20,30,40,70,90,2.8113861386138623,0.8147000000000001,1.4908499999999998,33.37289999999999,0.8345000000000004,0.36419753086419737,0.2535443037974684,0.5045679012345681
case_3-1,10,20,30,40,60,80,2.8846000000000007,0.8715841584158416,1.896815920398009,30.460199004975127,0.7949253731343283,0.42583892617449665,0.44892857142857157,0.45480519480519477
case_3-2,15,25,30,35,60,80,3.174752475247524,1.2607843137254902,1.3411442786069645,29.847711442786085,0.572587064676617,0.33302325581395337,0.3564864864864868,0.3675000000000002
case_3-3,10,20,30,40,70,90,2.7697959183673473,0.7625252525252527,1.414467005076142,32.28807106598985,0.5787817258883251,0.3469172932330828,0.4061271676300579,0.3985950413223139
case_3-4,15,25,30,35,60,80,2.755148514851486,0.8602000000000003,1.5042786069651737,33.2629353233831,0.62625,0.36721854304635765,0.45338888888888895,0.36081081081081073
case_3-5,10,20,25,35,60,80,2.7839795918367356,0.6793939393939394,1.4840306122448992,33.51627551020407,0.6462564102564102,0.4123387096774195,0.4381645569620253,0.40081081081081077
case_3-6,15,25,30,40,60,80,2.7110101010101,0.6752525252525251,1.523775510204082,34.47836734693877,0.6442564102564103,0.4197857142857143,0.4723170731707315,0.3607843137254902
case_3-7,15,25,40,50,100,120,2.9222772277227724,0.8603000000000001,1.4241116751269027,30.87939086294415,0.5661734693877551,0.40393103448275863,0.33899408284023674,0.4039097744360904
case_4,10,20,30,40,60,80,2.839799999999999,1.1126732673267326,1.4245226130653261,33.232110552763814,0.8586432160804023,0.23945205479452056,0.25299999999999995,0.5365771812080538
